Region,Destination_Name,Destination_Type,Total_Days,Total_Persons,Budget_Per_Person
Northeast,Shillong Peak,Religious,7,4,46467
South,Alleppey,Wildlife,10,9,39530
North,Agra,Adventure,11,4,11458
Northeast,Kaziranga,Beach,3,5,52088
West,Dwarka,Hidden Gem,2,3,26295
South,Ooty,Wildlife,3,7,28508
West,Ahmedabad,Hidden Gem,5,3,11837
Northeast,Majuli,Hidden Gem,12,8,30105
Northeast,Kaziranga,Hill Station,8,10,56174
East,Shillong,Desert,14,11,34165
North,Dalhousie,Wildlife,14,9,40627
West,Jaisalmer,Historical,8,5,26926
Northeast,Cherrapunji,Historical,8,9,8913
North,Agra,Urban/City,2,10,9057
North,Dalhousie,Hill Station,13,12,52782
South,Mysore,Religious,2,5,20264
West,Rann of Kutch,Beach,14,4,17139
North,Rishikesh,Historical,14,7,14812
Central,Gwalior,Wildlife,6,1,20194
East,Sundarbans,Religious,15,5,47877
North,Rishikesh,Wildlife,4,2,13531
Northeast,Dzukou Valley,Urban/City,15,10,44382
Northeast,Kaziranga,Trekking,3,4,40690
North,Nainital,Wildlife,2,6,54091
West,Udaipur,Beach,8,1,23762
Northeast,Ziro Valley,Historical,14,11,31668
West,Mount Abu,Urban/City,11,4,20904
North,Agra,Religious,6,4,58335
South,Goa,Adventure,14,6,36368
North,Jaipur,Adventure,7,8,29244
West,Ahmedabad,Desert,4,3,46890
East,Shillong,Beach,8,8,35803
Central,Kanha National Park,Adventure,8,7,35181
Central,Pachmarhi,Adventure,4,8,10603
Northeast,Ziro Valley,Hidden Gem,9,4,58082
West,Gir National Park,Adventure,13,12,35299
North,Rishikesh,Religious,6,3,51873
East,Kolkata,Religious,5,12,5112
Northeast,Aizawl,Religious,2,9,4440
Northeast,Imphal,Historical,12,1,10059
Central,Indore,Desert,3,5,19810
West,Somnath,Religious,5,7,9223
West,Jaisalmer,Beach,6,8,40877
East,Bodh Gaya,Urban/City,15,5,12079
West,Mumbai,Desert,7,6,45146
South,Munnar,Desert,4,10,58074
West,Mumbai,Hidden Gem,10,4,51021
Central,Sanchi,Trekking,10,11,59321
South,Kochi,Trekking,8,11,41466
South,Hampi,Hill Station,8,11,18665
South,Ooty,Hidden Gem,9,5,23680
South,Coorg,Adventure,6,12,37976
North,Varanasi,Wildlife,9,5,39010
West,Mount Abu,Wildlife,6,2,58805
West,Dwarka,Historical,14,5,24208
Northeast,Kaziranga,Beach,15,1,30248
North,Varanasi,Historical,14,12,34880
South,Ooty,Wildlife,5,4,39661
South,Kodaikanal,Desert,10,10,56643
South,Mysore,Religious,11,3,47682
South,Hampi,Urban/City,10,7,19769
Northeast,Dzukou Valley,Desert,12,7,21919
East,Darjeeling,Hill Station,6,5,43492
East,Sundarbans,Beach,15,6,28969
South,Pondicherry,Religious,10,10,23153
South,Goa,Trekking,3,11,38985
East,Konark,Beach,2,4,41446
South,Pondicherry,Hill Station,14,9,25653
East,Guwahati,Hidden Gem,12,10,18885
South,Kodaikanal,Hill Station,7,5,24081
East,Gangtok,Beach,13,12,53074
North,Shimla,Hill Station,4,9,16609
East,Bodh Gaya,Religious,5,10,53754
East,Darjeeling,Beach,7,6,54805
North,Manali,Beach,15,9,21188
Northeast,Majuli,Hill Station,5,5,39457
Central,Gwalior,Beach,10,2,26317
East,Sundarbans,Religious,12,2,29666
West,Jaisalmer,Adventure,11,11,27673
South,Munnar,Urban/City,12,12,33848
South,Kodaikanal,Religious,10,4,9018
Central,Kanha National Park,Trekking,14,1,42135
Central,Pachmarhi,Beach,9,11,11516
South,Kodaikanal,Desert,2,10,57156
Northeast,Shillong Peak,Hill Station,2,10,13339
West,Udaipur,Adventure,11,4,43685
East,Guwahati,Trekking,7,4,53837
West,Mumbai,Adventure,2,11,6170
East,Darjeeling,Beach,3,5,56850
West,Jaisalmer,Historical,5,8,31969
Northeast,Tawang,Urban/City,3,3,40792
South,Alleppey,Religious,5,11,24488
Northeast,Tawang,Desert,15,3,39511
East,Gangtok,Trekking,8,5,59803
East,Guwahati,Desert,4,6,36416
West,Udaipur,Urban/City,5,12,52068
North,Dalhousie,Hidden Gem,12,8,50455
North,Kullu,Religious,12,11,43192
Central,Kanha National Park,Urban/City,10,11,21499
West,Ahmedabad,Desert,6,2,57012
Northeast,Dzukou Valley,Desert,5,5,15212
South,Coorg,Wildlife,15,6,50582
South,Hampi,Religious,14,7,19033
South,Ooty,Historical,9,6,8586
East,Sundarbans,Hill Station,9,6,20572
East,Konark,Desert,12,9,51975
Central,Bhopal,Historical,6,2,22991
South,Pondicherry,Wildlife,8,10,26475
South,Mysore,Wildlife,13,10,18694
North,Rishikesh,Adventure,3,4,12316
Central,Khajuraho,Historical,5,12,48253
West,Rann of Kutch,Historical,13,12,3389
South,Pondicherry,Historical,6,11,32483
North,Nainital,Beach,14,8,35878
West,Udaipur,Historical,15,5,31821
North,Rishikesh,Hidden Gem,8,4,28258
South,Munnar,Trekking,13,4,52959
North,Varanasi,Historical,9,10,21015
Central,Indore,Historical,8,11,45511
West,Mount Abu,Historical,10,3,18064
South,Kochi,Urban/City,15,10,26785
Central,Pachmarhi,Religious,4,1,33337
West,Mumbai,Trekking,12,5,20434
Central,Pachmarhi,Hill Station,13,12,53851
North,Manali,Urban/City,15,11,36874
South,Pondicherry,Hill Station,10,7,49348
South,Alleppey,Trekking,6,8,46695
East,Puri,Wildlife,9,5,43475
West,Somnath,Hidden Gem,9,10,52627
West,Udaipur,Religious,11,8,45706
North,Varanasi,Hidden Gem,9,3,33636
East,Shillong,Desert,12,11,29602
South,Pondicherry,Wildlife,13,5,28013
Central,Gwalior,Historical,8,5,25097
Northeast,Majuli,Wildlife,9,7,53917
West,Mumbai,Historical,9,7,10301
Northeast,Cherrapunji,Beach,3,8,14456
North,Kullu,Adventure,5,7,32996
Central,Kanha National Park,Historical,15,4,43651
West,Mount Abu,Desert,8,10,35004
Northeast,Shillong Peak,Historical,12,10,51843
Central,Indore,Hill Station,4,1,5729
Northeast,Ziro Valley,Adventure,7,7,19651
North,Agra,Hidden Gem,2,5,47105
North,Leh,Adventure,2,7,3335
Central,Bandhavgarh,Historical,13,7,43299
Central,Kanha National Park,Beach,3,3,26443
Central,Gwalior,Wildlife,14,11,37139
West,Dwarka,Adventure,5,12,33831
South,Pondicherry,Desert,7,1,43599
West,Dwarka,Wildlife,12,7,16272
South,Goa,Urban/City,7,12,31500
East,Darjeeling,Wildlife,2,9,16041
South,Kochi,Trekking,15,8,51914
South,Hampi,Hidden Gem,3,5,51672
West,Gir National Park,Desert,7,2,34435
North,Jaipur,Adventure,13,7,32246
South,Ooty,Hill Station,14,6,38800
Central,Kanha National Park,Urban/City,11,7,25294
Central,Bandhavgarh,Hill Station,12,5,44043
North,Nainital,Beach,9,10,40650
East,Puri,Historical,12,3,58416
West,Mount Abu,Beach,15,9,47318
Northeast,Dzukou Valley,Religious,4,8,41937
East,Shillong,Religious,15,5,19090
Central,Bandhavgarh,Historical,12,3,43970
South,Hampi,Desert,14,1,46902
East,Shillong,Hidden Gem,13,1,7131
West,Rann of Kutch,Beach,8,10,15460
Northeast,Tawang,Historical,11,2,9512
West,Rann of Kutch,Religious,14,8,11065
South,Alleppey,Urban/City,8,10,5799
North,Dalhousie,Desert,11,12,6020
West,Udaipur,Wildlife,6,9,14614
West,Mumbai,Hill Station,15,1,59921
Central,Bhopal,Hidden Gem,4,6,22931
Central,Bhopal,Hidden Gem,9,2,4729
North,Kullu,Religious,4,5,6703
East,Shillong,Desert,14,11,15386
North,Leh,Religious,9,12,40117
West,Gir National Park,Historical,12,8,45669
South,Mysore,Beach,7,12,31049
North,Nainital,Trekking,13,1,8630
South,Munnar,Desert,4,12,22749
Central,Kanha National Park,Historical,4,8,53698
East,Gangtok,Adventure,2,2,19812
North,Kullu,Historical,10,6,51728
South,Alleppey,Desert,12,5,3415
Central,Khajuraho,Religious,7,9,56615
West,Dwarka,Beach,11,2,15886
North,Leh,Historical,7,4,34119
West,Udaipur,Adventure,9,11,23300
East,Bodh Gaya,Trekking,14,4,24098
East,Bodh Gaya,Historical,11,7,55378
South,Kochi,Beach,14,2,39609
East,Darjeeling,Hill Station,10,2,39224
Central,Kanha National Park,Wildlife,15,8,19153
South,Alleppey,Historical,4,6,18057
South,Pondicherry,Adventure,2,2,18752
North,Manali,Religious,2,6,41674
East,Guwahati,Religious,15,2,40228
North,Agra,Hidden Gem,6,12,58817
West,Ahmedabad,Historical,8,4,13974
North,Shimla,Beach,5,5,38773
Northeast,Cherrapunji,Trekking,7,9,4149
North,Shimla,Trekking,15,7,28198
South,Hampi,Beach,4,3,4388
South,Kodaikanal,Religious,8,11,11482
East,Darjeeling,Historical,7,6,38704
East,Konark,Adventure,12,9,10140
South,Kochi,Historical,13,1,34425
South,Munnar,Wildlife,12,1,25270
South,Alleppey,Wildlife,6,12,58680
West,Ahmedabad,Desert,14,8,23518
North,Jaipur,Hill Station,8,1,25586
Northeast,Tawang,Hill Station,9,1,13930
South,Kochi,Hill Station,5,5,3333
East,Konark,Desert,13,11,24944
North,Agra,Adventure,11,8,30456
Northeast,Dzukou Valley,Hidden Gem,15,10,29540
North,Agra,Beach,5,2,44777
North,Jaipur,Trekking,13,9,7128
West,Mumbai,Wildlife,10,12,19975
East,Puri,Urban/City,7,8,35701
East,Darjeeling,Religious,13,4,17808
Northeast,Ziro Valley,Hill Station,5,6,17753
Northeast,Ziro Valley,Trekking,10,10,4248
West,Jaisalmer,Trekking,3,10,55614
Northeast,Ziro Valley,Historical,7,3,50999
Central,Bhopal,Beach,3,1,27522
Northeast,Tawang,Trekking,2,2,30153
North,Shimla,Trekking,3,2,52444
South,Alleppey,Hill Station,14,3,53200
South,Kodaikanal,Hill Station,13,3,16351
West,Jaisalmer,Urban/City,6,9,26683
Central,Kanha National Park,Trekking,8,4,28005
Central,Bhopal,Adventure,13,8,4465
North,Jaipur,Hidden Gem,12,8,20721
South,Kochi,Adventure,4,11,32590
South,Kodaikanal,Historical,4,10,43083
Northeast,Imphal,Trekking,14,5,7480
West,Ahmedabad,Hidden Gem,3,11,54877
East,Gangtok,Hidden Gem,6,9,59272
West,Mount Abu,Hidden Gem,2,3,18205
North,Kullu,Wildlife,14,3,49207
North,Leh,Trekking,7,5,4151
Northeast,Cherrapunji,Beach,7,4,11485
South,Hampi,Trekking,13,5,25699
West,Mumbai,Urban/City,9,5,28587
West,Gir National Park,Hill Station,8,2,8012
Central,Bandhavgarh,Desert,10,3,22595
North,Leh,Desert,11,11,15263
Central,Indore,Religious,2,5,48706
Central,Kanha National Park,Beach,11,5,22397
Northeast,Imphal,Beach,14,2,20308
Northeast,Ziro Valley,Wildlife,5,7,53314
Central,Indore,Beach,8,6,18031
East,Kolkata,Historical,5,8,4016
Northeast,Shillong Peak,Hill Station,3,11,42692
Central,Gwalior,Urban/City,14,7,21237
Northeast,Majuli,Adventure,5,9,38044
Northeast,Imphal,Desert,10,10,17333
Central,Kanha National Park,Historical,14,3,29139
East,Bodh Gaya,Urban/City,9,5,51321
North,Dalhousie,Adventure,14,6,58273
West,Rann of Kutch,Trekking,15,6,43956
Northeast,Kaziranga,Urban/City,2,8,13324
South,Kodaikanal,Wildlife,7,3,14892
West,Dwarka,Beach,11,2,9395
Central,Pachmarhi,Wildlife,9,12,58690
Northeast,Dzukou Valley,Religious,6,4,5679
Central,Khajuraho,Religious,2,3,25735
West,Ahmedabad,Beach,13,7,37087
West,Jaisalmer,Historical,7,11,5605
Central,Gwalior,Wildlife,5,9,55815
Northeast,Kaziranga,Religious,13,9,55807
South,Kodaikanal,Hill Station,10,9,5984
Central,Khajuraho,Desert,2,2,52317
North,Shimla,Beach,11,1,39675
West,Udaipur,Urban/City,9,1,55055
West,Rann of Kutch,Beach,14,9,7442
Central,Bandhavgarh,Hill Station,12,2,44620
Northeast,Dzukou Valley,Wildlife,4,10,11458
North,Leh,Hidden Gem,7,9,41750
South,Hampi,Hidden Gem,3,10,28871
East,Shillong,Adventure,8,5,50410
East,Guwahati,Wildlife,3,5,16806
North,Kullu,Hidden Gem,14,11,52954
West,Ahmedabad,Urban/City,8,11,10687
West,Udaipur,Wildlife,4,2,52010
East,Gangtok,Beach,2,7,56969
South,Hampi,Trekking,2,11,45906
East,Bodh Gaya,Urban/City,15,2,18559
South,Ooty,Adventure,14,4,18496
Central,Gwalior,Beach,7,3,57047
Central,Bhopal,Adventure,12,11,58895
Central,Bhopal,Beach,3,9,57106
South,Kodaikanal,Wildlife,9,9,49162
South,Hampi,Hill Station,10,10,28278
South,Coorg,Desert,6,7,55687
East,Puri,Historical,12,8,10787
South,Kodaikanal,Beach,15,6,21856
West,Ahmedabad,Hidden Gem,3,3,36888
Central,Bandhavgarh,Adventure,7,2,26596
Northeast,Shillong Peak,Historical,9,4,42619
Northeast,Aizawl,Urban/City,9,8,7095
East,Puri,Trekking,12,9,28194
South,Kodaikanal,Adventure,7,10,4083
North,Shimla,Religious,9,3,59125
East,Guwahati,Hill Station,5,6,5643
South,Kodaikanal,Historical,9,7,35398
West,Ahmedabad,Hill Station,13,11,14811
West,Dwarka,Hidden Gem,2,10,10297
West,Mumbai,Beach,4,5,10157
North,Varanasi,Hidden Gem,5,2,12033
North,Shimla,Hill Station,5,10,38309
East,Sundarbans,Religious,13,3,8036
Central,Indore,Desert,5,11,31275
East,Konark,Trekking,6,4,21845
East,Bodh Gaya,Wildlife,4,10,36447
East,Shillong,Desert,9,1,46239
South,Kochi,Urban/City,6,8,27087
North,Manali,Adventure,2,10,32530
North,Dalhousie,Historical,14,1,47089
Central,Kanha National Park,Beach,14,12,14242
East,Gangtok,Religious,10,10,19802
Central,Bhopal,Historical,9,7,16567
Central,Indore,Urban/City,7,1,10370
South,Mysore,Urban/City,10,6,44912
West,Ahmedabad,Adventure,12,5,59195
South,Mysore,Wildlife,12,4,55724
West,Mount Abu,Historical,15,2,58367
West,Ahmedabad,Desert,10,12,45727
North,Shimla,Religious,12,1,54311
South,Pondicherry,Religious,11,5,35309
East,Guwahati,Religious,13,1,34767
East,Darjeeling,Desert,3,2,5813
Northeast,Cherrapunji,Hill Station,10,2,29065
Northeast,Shillong Peak,Hidden Gem,9,1,47640
East,Puri,Wildlife,6,9,26215
Northeast,Imphal,Trekking,6,8,47596
West,Dwarka,Trekking,13,9,58432
South,Munnar,Hill Station,11,5,36454
Northeast,Shillong Peak,Adventure,15,9,49618
South,Kodaikanal,Wildlife,8,6,58904
West,Mumbai,Wildlife,11,12,56612
East,Konark,Wildlife,14,10,58296
Northeast,Ziro Valley,Beach,4,11,44160
West,Ahmedabad,Adventure,5,6,47862
East,Sundarbans,Desert,14,8,58494
North,Manali,Hill Station,15,11,9611
West,Dwarka,Beach,4,11,34350
South,Goa,Trekking,11,8,36295
North,Dalhousie,Urban/City,4,7,14977
East,Gangtok,Historical,4,6,4995
Central,Indore,Religious,9,10,52310
South,Ooty,Hill Station,8,4,42235
Northeast,Cherrapunji,Wildlife,13,5,43080
Central,Kanha National Park,Hill Station,10,11,33389
South,Alleppey,Hidden Gem,5,10,22238
North,Rishikesh,Hidden Gem,15,8,56988
West,Rann of Kutch,Hill Station,12,6,49160
Northeast,Ziro Valley,Wildlife,4,3,22106
North,Jaipur,Urban/City,11,7,46459
North,Leh,Trekking,12,8,25938
Central,Bhopal,Religious,10,8,57440
Northeast,Imphal,Hill Station,5,7,7707
East,Kolkata,Historical,7,6,37359
North,Rishikesh,Historical,3,8,53370
Central,Pachmarhi,Desert,14,5,23804
South,Coorg,Desert,3,8,21433
North,Kullu,Urban/City,8,7,49591
West,Udaipur,Desert,5,5,49896
East,Konark,Adventure,2,5,17044
North,Leh,Wildlife,2,11,32758
Central,Indore,Desert,15,11,47060
North,Nainital,Historical,12,3,37815
North,Agra,Adventure,11,3,54741
South,Coorg,Desert,13,10,32709
Central,Bhopal,Beach,10,8,43492
North,Nainital,Historical,4,11,34613
North,Leh,Historical,13,11,54779
Central,Sanchi,Trekking,9,11,37740
East,Shillong,Urban/City,9,11,26193
Central,Sanchi,Hill Station,11,6,8602
Northeast,Tawang,Urban/City,10,3,20272
North,Rishikesh,Adventure,8,2,11514
Northeast,Cherrapunji,Beach,11,4,20012
Northeast,Tawang,Historical,9,2,3623
North,Varanasi,Religious,3,6,48390
North,Rishikesh,Trekking,14,7,24636
South,Mysore,Religious,9,10,22574
North,Jaipur,Religious,14,7,39096
West,Rann of Kutch,Beach,14,6,10325
North,Leh,Historical,13,10,19747
West,Mount Abu,Beach,15,12,11191
Central,Kanha National Park,Urban/City,4,10,24625
Central,Indore,Trekking,7,9,57451
North,Rishikesh,Urban/City,7,8,45553
South,Kodaikanal,Desert,11,4,33359
Central,Bandhavgarh,Hidden Gem,12,5,21544
East,Gangtok,Historical,12,10,44665
Central,Indore,Urban/City,7,10,4444
North,Shimla,Hill Station,9,5,4885
East,Darjeeling,Historical,14,11,57862
North,Leh,Beach,9,11,33636
North,Agra,Religious,14,12,21189
South,Coorg,Religious,5,2,3971
Central,Gwalior,Historical,14,2,8266
East,Bodh Gaya,Adventure,3,2,40429
North,Dalhousie,Wildlife,15,6,53982
East,Puri,Religious,7,3,30087
North,Jaipur,Trekking,2,7,37321
Northeast,Majuli,Urban/City,13,7,46633
North,Agra,Trekking,13,5,33858
Northeast,Cherrapunji,Urban/City,4,5,42533
Central,Bhopal,Wildlife,7,3,38829
North,Leh,Adventure,9,5,6768
West,Gir National Park,Desert,12,10,58046
North,Varanasi,Beach,3,7,36086
West,Somnath,Desert,3,12,24488
East,Shillong,Adventure,5,3,8696
Northeast,Shillong Peak,Hill Station,12,2,28702
Northeast,Dzukou Valley,Urban/City,9,5,42106
South,Kodaikanal,Wildlife,2,10,45195
Northeast,Imphal,Religious,9,12,12241
North,Nainital,Religious,11,1,50317
North,Nainital,Beach,3,10,37187
South,Hampi,Trekking,3,3,14383
Northeast,Majuli,Adventure,13,12,4513
West,Mount Abu,Beach,13,10,43725
West,Mount Abu,Religious,12,5,56841
West,Mumbai,Trekking,13,7,30694
North,Rishikesh,Trekking,14,9,24134
West,Dwarka,Wildlife,12,4,9397
Northeast,Imphal,Religious,3,1,36943
North,Shimla,Trekking,8,4,42804
South,Goa,Wildlife,2,3,22416
West,Mumbai,Urban/City,6,6,12060
Northeast,Aizawl,Beach,2,8,51624
Northeast,Dzukou Valley,Religious,11,6,48532
Northeast,Aizawl,Religious,6,9,50123
Northeast,Imphal,Wildlife,5,4,46600
Northeast,Kaziranga,Hidden Gem,13,4,43043
Northeast,Aizawl,Wildlife,12,3,29366
Northeast,Imphal,Urban/City,9,8,35218
South,Coorg,Desert,13,12,26167
Northeast,Majuli,Hidden Gem,15,12,23745
South,Kochi,Wildlife,7,12,11026
Central,Bandhavgarh,Trekking,6,6,20764
East,Puri,Urban/City,6,5,12134
Northeast,Kaziranga,Adventure,12,8,58443
West,Mount Abu,Historical,6,3,5875
East,Sundarbans,Hill Station,11,4,56318
West,Gir National Park,Adventure,7,12,43460
Central,Bhopal,Beach,12,8,13501
West,Mumbai,Hill Station,5,7,9976
West,Gir National Park,Beach,6,4,27547
South,Munnar,Urban/City,13,8,31784
East,Kolkata,Religious,14,12,41213
North,Dalhousie,Desert,9,12,21130
Northeast,Dzukou Valley,Hidden Gem,11,7,14393
Central,Kanha National Park,Adventure,11,11,30857
South,Hampi,Hill Station,7,12,32094
North,Kullu,Historical,7,5,39043
West,Rann of Kutch,Religious,7,3,20490
Central,Bhopal,Trekking,11,7,24199
North,Manali,Trekking,12,1,45563
West,Somnath,Hill Station,5,6,20738
East,Guwahati,Wildlife,11,11,53949
Central,Khajuraho,Desert,7,12,9585
West,Mount Abu,Wildlife,7,9,4332
West,Mumbai,Historical,3,8,47280
Northeast,Aizawl,Hidden Gem,6,5,33965
Northeast,Ziro Valley,Beach,10,3,51761
West,Gir National Park,Desert,10,5,19875
West,Mumbai,Beach,15,10,51369
Central,Bhopal,Desert,11,7,49587
North,Jaipur,Religious,11,9,12202
West,Dwarka,Historical,11,3,34706
West,Mount Abu,Desert,14,6,39671
Northeast,Imphal,Religious,9,2,14995
South,Kochi,Wildlife,15,7,25518
South,Alleppey,Historical,13,11,49802
South,Hampi,Trekking,3,7,3602
East,Sundarbans,Desert,15,2,37438
Northeast,Imphal,Trekking,12,6,33295
North,Agra,Historical,11,12,13308
South,Coorg,Hill Station,10,3,5390
East,Shillong,Beach,3,9,4676
West,Rann of Kutch,Urban/City,5,11,33492
South,Kochi,Desert,2,6,19315
East,Kolkata,Beach,4,4,40599
West,Rann of Kutch,Hidden Gem,12,4,46142
North,Kullu,Urban/City,4,5,44246
West,Udaipur,Urban/City,7,12,19721
South,Mysore,Wildlife,2,4,28131
Central,Kanha National Park,Religious,9,8,8179
North,Rishikesh,Urban/City,15,12,57284
West,Jaisalmer,Adventure,8,4,32530
Central,Indore,Adventure,3,10,12964
South,Kochi,Religious,11,6,35686
South,Munnar,Desert,14,11,53080
South,Alleppey,Religious,15,9,40550
Central,Bhopal,Hill Station,6,9,40088
Northeast,Tawang,Trekking,11,5,51481
West,Mount Abu,Adventure,5,5,55113
Northeast,Majuli,Desert,13,5,30961
North,Rishikesh,Desert,10,8,9123
East,Sundarbans,Urban/City,10,5,14504
South,Kodaikanal,Adventure,4,1,26414
Central,Indore,Beach,14,1,29746
South,Kodaikanal,Hidden Gem,2,6,53291
South,Ooty,Historical,15,6,30102
Northeast,Kaziranga,Wildlife,9,7,40745
Central,Gwalior,Beach,6,4,39330
East,Bodh Gaya,Religious,10,4,59389
West,Ahmedabad,Beach,3,10,44904
East,Darjeeling,Religious,10,3,14972
North,Varanasi,Wildlife,11,4,26946
Northeast,Cherrapunji,Hill Station,14,12,36167
North,Jaipur,Hidden Gem,12,6,15809
Central,Pachmarhi,Urban/City,7,4,52305
Northeast,Majuli,Hidden Gem,6,7,34858
West,Mount Abu,Historical,7,1,26155
North,Manali,Adventure,11,12,58515
East,Sundarbans,Beach,11,10,21109
South,Goa,Hill Station,14,1,35247
North,Leh,Wildlife,2,6,59090
West,Ahmedabad,Adventure,5,2,44296
North,Varanasi,Wildlife,8,6,46780
Northeast,Cherrapunji,Wildlife,4,5,46352
South,Munnar,Wildlife,15,5,22302
Northeast,Tawang,Adventure,14,6,19212
Northeast,Shillong Peak,Urban/City,13,6,44393
Central,Pachmarhi,Historical,6,3,11114
Northeast,Kaziranga,Desert,13,8,47660
Central,Khajuraho,Trekking,8,7,26863
West,Ahmedabad,Urban/City,9,1,46099
Northeast,Ziro Valley,Hidden Gem,4,12,31796
West,Mumbai,Hill Station,10,3,10811
North,Jaipur,Trekking,11,2,20928
North,Kullu,Beach,15,1,55395
West,Udaipur,Beach,14,8,35860
East,Konark,Hill Station,5,2,57021
Northeast,Majuli,Desert,2,8,13966
West,Rann of Kutch,Hidden Gem,10,4,44392
East,Gangtok,Wildlife,9,1,37061
North,Jaipur,Urban/City,9,7,10416
West,Udaipur,Trekking,5,12,11496
Central,Khajuraho,Religious,5,11,32779
East,Darjeeling,Wildlife,15,7,16943
South,Ooty,Wildlife,15,4,59270
Northeast,Ziro Valley,Religious,13,5,28840
West,Rann of Kutch,Beach,12,8,14173
South,Coorg,Desert,2,4,52583
Northeast,Cherrapunji,Wildlife,14,4,54753
North,Varanasi,Historical,8,4,32565
East,Sundarbans,Trekking,3,11,45379
West,Dwarka,Historical,5,2,32894
West,Jaisalmer,Trekking,12,8,29128
East,Kolkata,Wildlife,15,12,40191
West,Mumbai,Trekking,11,7,25284
West,Dwarka,Hill Station,2,10,44876
East,Darjeeling,Hidden Gem,3,11,21706
West,Mumbai,Desert,14,1,18348
South,Ooty,Hidden Gem,9,5,29384
West,Dwarka,Hidden Gem,15,12,26458
West,Dwarka,Historical,6,2,48910
Central,Kanha National Park,Religious,8,10,36611
North,Shimla,Hidden Gem,11,4,7708
West,Rann of Kutch,Hidden Gem,11,5,50566
West,Mumbai,Religious,6,2,30417
North,Agra,Religious,8,1,39929
North,Nainital,Wildlife,10,12,3380
South,Munnar,Urban/City,13,2,45518
East,Guwahati,Trekking,5,3,58431
South,Mysore,Historical,5,12,50829
Central,Kanha National Park,Wildlife,3,9,51309
East,Sundarbans,Urban/City,10,7,37147
Northeast,Kaziranga,Hill Station,12,4,58604
Central,Indore,Trekking,8,7,41611
North,Rishikesh,Adventure,2,2,52686
South,Hampi,Religious,10,4,28870
Central,Sanchi,Desert,10,1,40471
Central,Sanchi,Historical,2,5,11211
North,Agra,Wildlife,8,2,57527
East,Bodh Gaya,Desert,7,8,23555
West,Rann of Kutch,Hidden Gem,11,12,20233
West,Mumbai,Hidden Gem,5,8,5848
East,Darjeeling,Historical,9,4,36391
South,Munnar,Trekking,2,4,51825
Northeast,Tawang,Wildlife,6,11,41778
North,Dalhousie,Beach,4,3,17867
North,Jaipur,Adventure,4,8,18752
Central,Pachmarhi,Hill Station,12,8,51173
North,Manali,Trekking,11,2,22802
West,Mount Abu,Hidden Gem,9,11,40148
South,Ooty,Historical,5,1,26617
North,Dalhousie,Urban/City,12,3,4732
West,Mumbai,Historical,7,4,21185
Northeast,Majuli,Wildlife,6,5,48894
East,Sundarbans,Trekking,3,1,49302
East,Kolkata,Hidden Gem,10,11,47891
North,Dalhousie,Hidden Gem,9,1,40700
East,Gangtok,Adventure,4,12,4643
East,Guwahati,Hidden Gem,2,8,51765
North,Leh,Wildlife,9,1,35424
North,Kullu,Religious,6,12,53985
South,Alleppey,Trekking,13,9,9694
East,Shillong,Hill Station,6,2,42200
North,Varanasi,Religious,11,4,18382
North,Shimla,Beach,10,11,25717
North,Agra,Wildlife,9,12,50461
East,Konark,Adventure,4,1,20186
Central,Bandhavgarh,Historical,14,1,54910
East,Guwahati,Hidden Gem,14,9,48249
East,Kolkata,Wildlife,10,5,12204
South,Hampi,Trekking,2,7,8589
South,Coorg,Historical,8,12,4884
West,Rann of Kutch,Hidden Gem,12,12,56418
South,Ooty,Religious,8,6,37827
East,Kolkata,Religious,6,5,17161
East,Shillong,Historical,10,3,9788
South,Kodaikanal,Urban/City,11,2,26550
South,Kodaikanal,Hidden Gem,11,1,26431
South,Coorg,Hidden Gem,12,2,19440
Northeast,Tawang,Trekking,15,12,4190
North,Agra,Historical,13,10,5654
Northeast,Majuli,Desert,7,9,26496
Northeast,Tawang,Hidden Gem,11,8,17889
South,Coorg,Trekking,5,1,53526
Northeast,Majuli,Desert,6,4,35296
Northeast,Tawang,Beach,15,1,46427
Northeast,Dzukou Valley,Beach,4,1,54749
Northeast,Majuli,Desert,15,2,29151
South,Munnar,Beach,5,7,3632
East,Guwahati,Historical,7,2,39088
East,Guwahati,Wildlife,6,5,12948
Central,Bandhavgarh,Religious,11,11,31570
South,Kochi,Hidden Gem,15,12,31479
West,Somnath,Religious,3,12,44698
North,Rishikesh,Wildlife,13,6,3793
South,Mysore,Hill Station,9,8,38279
West,Mount Abu,Wildlife,5,5,43277
Central,Khajuraho,Religious,14,5,59916
West,Mumbai,Adventure,11,1,10035
South,Hampi,Urban/City,8,7,54214
West,Somnath,Historical,2,2,42140
South,Kochi,Urban/City,6,6,8889
North,Agra,Desert,7,12,26421
South,Pondicherry,Wildlife,8,5,23502
West,Mount Abu,Historical,8,11,58126
South,Kochi,Beach,13,9,44416
North,Rishikesh,Hidden Gem,4,12,16437
North,Nainital,Hidden Gem,4,9,52986
North,Kullu,Adventure,13,3,51773
East,Guwahati,Hidden Gem,2,6,15694
South,Ooty,Religious,14,1,44425
East,Darjeeling,Hill Station,3,10,43671
Northeast,Cherrapunji,Beach,10,1,58501
East,Gangtok,Historical,2,10,56234
South,Alleppey,Hill Station,8,4,30742
East,Darjeeling,Hidden Gem,5,7,14994
Northeast,Majuli,Wildlife,12,9,32019
West,Gir National Park,Wildlife,8,12,55980
